period,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
common_full,tqqq_hold,2007-04-11,2026-08-07,100000.0000000000,16152394.6216134634,160.5239462161,0.3009884608,1,0.0517487249,99.8998033506,-0.9425034698,2007-10-31,2009-03-09,495,2013-08-05,1610,2105,2105,2007-10-31
common_full,qqq_hold,2007-04-11,2026-08-07,100000.0000000000,1883531.4785618174,17.8353147856,0.1640676520,1,0.0517487249,99.8618858707,-0.5338745734,2007-10-31,2008-11-20,386,2010-12-10,750,1136,1136,2007-10-31
common_full,vo,2007-04-11,2026-08-07,100000.0000000000,34875326.5614560023,347.7532656146,0.3538547688,112,5.7958571833,443252.5545534582,-0.5288292535,2007-10-31,2009-05-13,560,2010-04-05,327,887,887,2007-10-31
common_full,vaa_g4,2007-04-11,2026-07-31,100000.0000000000,297716.4996525946,1.9771649965,0.0581397698,140,7.2520138987,58088.5889444502,-0.2203498870,2010-04-14,2011-07-18,460,2012-09-19,429,889,1641,2021-07-26
common_full,daa_g12,2007-04-11,2026-07-31,100000.0000000000,402731.1125921028,3.0273111259,0.0748301653,204,10.5672202524,75675.7799748398,-0.2849916765,2021-09-03,2023-08-18,714,2026-01-20,886,1600,1600,2021-09-03
recent_10y,tqqq_hold,2016-08-01,2026-08-07,100000.0000000000,3174209.8917085240,30.7420989171,0.4123251935,1,0.0998475943,99.8995407818,-0.8165981597,2021-11-19,2022-12-28,404,2024-12-04,707,1111,1111,2021-11-19
recent_10y,qqq_hold,2016-08-01,2026-08-07,100000.0000000000,671019.2379922338,5.7101923799,0.2093374389,1,0.0998475943,99.8527764189,-0.3511416068,2021-12-27,2022-11-03,311,2023-12-13,405,716,716,2021-12-27
recent_10y,vo,2016-08-01,2026-08-07,100000.0000000000,2509431.8652661555,24.0943186527,0.3795715753,72,7.1890267906,31468.7741932076,-0.4576938510,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
recent_10y,vaa_g4,2016-08-01,2026-07-31,100000.0000000000,158668.1100408956,0.5866811004,0.0472654837,77,7.7030053410,20146.2067916057,-0.2100648656,2021-07-26,2023-02-24,578,2026-01-22,1063,1641,1641,2021-07-26
recent_10y,daa_g12,2016-08-01,2026-07-31,100000.0000000000,172511.7344543024,0.7251173445,0.0560661132,110,11.0042933443,21054.4086725879,-0.2849538452,2021-09-03,2023-08-18,714,2026-01-20,886,1600,1600,2021-09-03
