fee_rate,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
0.0010000000,permanent_buyhold,2004-11-18,2026-07-31,100000.0000000000,527513.7504253789,4.2751375043,0.0796571473,1,0.0460873817,99.8687947813,-0.2013223519,2021-12-27,2022-10-20,297,2024-02-23,491,788,1343,2012-10-04
0.0010000000,permanent_annual_equal,2004-11-18,2026-07-31,100000.0000000000,453979.3065785920,3.5397930658,0.0722130075,23,1.0600097792,583.0850784158,-0.1834672687,2021-12-27,2022-10-20,297,2024-04-09,537,834,834,2021-12-27
0.0010000000,permanent_band,2004-11-18,2026-07-31,100000.0000000000,485348.6782024601,3.8534867820,0.0755198388,5,0.2304369085,409.8152721804,-0.1841076032,2021-12-27,2022-10-20,297,2024-03-27,524,821,821,2021-12-27
0.0010000000,tqqq_hold,2004-11-18,2026-08-11,100000.0000000000,21520260.8879121542,214.2026088791,0.2804593908,1,0.0460235005,99.8998531057,-0.9425041472,2007-10-31,2009-03-09,495,2013-08-05,1610,2105,2105,2007-10-31
0.0010000000,qqq_hold,2004-11-18,2026-08-11,100000.0000000000,2179795.0756848659,20.7979507568,0.1523875937,1,0.0460235005,99.8823789722,-0.5339742224,2007-10-31,2008-11-20,386,2010-12-10,750,1136,1136,2007-10-31
0.0010000000,vo,2004-11-18,2026-08-11,100000.0000000000,52664406.8042179570,525.6440680422,0.3343008051,116,5.3387260585,676087.4605960371,-0.5288309326,2007-10-31,2009-05-13,560,2010-04-05,327,887,887,2007-10-31
0.0020000000,permanent_buyhold,2004-11-18,2026-07-31,100000.0000000000,527358.8533562158,4.2735885336,0.0796425343,1,0.0460873817,199.5200811282,-0.2013835169,2021-12-27,2022-10-20,297,2024-02-23,491,788,1343,2012-10-04
0.0020000000,permanent_annual_equal,2004-11-18,2026-07-31,100000.0000000000,452480.4435560775,3.5248044356,0.0720495993,23,1.0600097792,1162.1185802920,-0.1836545573,2021-12-27,2022-10-20,297,2024-04-09,537,834,834,2021-12-27
0.0020000000,permanent_band,2004-11-18,2026-07-31,100000.0000000000,484469.4706566215,3.8446947066,0.0754299691,5,0.2304369085,820.6067552971,-0.1841661555,2021-12-27,2022-10-20,297,2024-03-27,524,821,821,2021-12-27
0.0020000000,tqqq_hold,2004-11-18,2026-08-11,100000.0000000000,21498781.2594828568,213.9878125948,0.2804005428,1,0.0460235005,199.6002836445,-0.9425041043,2007-10-31,2009-03-09,495,2013-08-05,1610,2105,2105,2007-10-31
0.0020000000,qqq_hold,2004-11-18,2026-08-11,100000.0000000000,2177638.8038596455,20.7763880386,0.1523351044,1,0.0460235005,199.5672318159,-0.5339775886,2007-10-31,2008-11-20,386,2010-12-10,750,1136,1136,2007-10-31
0.0020000000,vo,2004-11-18,2026-08-11,100000.0000000000,49757172.6332158595,496.5717263322,0.3308182240,116,5.3387260585,1291097.5602483584,-0.5304642860,2007-10-31,2009-05-13,560,2010-04-06,328,888,888,2007-10-31
0.0050000000,permanent_buyhold,2004-11-18,2026-07-31,100000.0000000000,526922.8182051977,4.2692281821,0.0796013769,1,0.0460873817,497.4407751058,-0.2015653835,2021-12-27,2022-10-20,297,2024-02-23,491,788,1343,2012-10-04
0.0050000000,permanent_annual_equal,2004-11-18,2026-07-31,100000.0000000000,448659.4642943032,3.4865946429,0.0716306832,23,1.0600097792,2893.4357351061,-0.1839083622,2021-12-27,2022-10-20,297,2024-04-09,537,834,834,2021-12-27
0.0050000000,permanent_band,2004-11-18,2026-07-31,100000.0000000000,482311.5870307524,3.8231158703,0.0752087360,5,0.2304369085,2042.8402922780,-0.1853231583,2021-12-27,2022-10-20,297,2024-03-28,525,822,822,2021-12-27
0.0050000000,tqqq_hold,2004-11-18,2026-08-11,100000.0000000000,21434634.4473214075,213.3463444732,0.2802244646,1,0.0460235005,497.5118229398,-0.9425046227,2007-10-31,2009-03-09,495,2013-08-05,1610,2105,2105,2007-10-31
0.0050000000,qqq_hold,2004-11-18,2026-08-11,100000.0000000000,2171171.1735407542,20.7117117354,0.1521773673,1,0.0460235005,497.4366335761,-0.5339833023,2007-10-31,2008-11-20,386,2010-12-10,750,1136,1136,2007-10-31
0.0050000000,vo,2004-11-18,2026-08-11,100000.0000000000,41967622.1635237932,418.6762216352,0.3204309657,116,5.3387260585,2811584.3631486176,-0.5353348504,2007-10-31,2009-05-13,560,2010-04-09,331,891,891,2007-10-31
