model,window_years,window_count,median_cagr,worst_cagr,median_mdd,worst_mdd,median_longest_tuw_days,worst_longest_tuw_days
faa7_equal_monthly,5,177,0.0421553619,-0.0074152959,-0.1957945279,-0.4609941450,709.0000000000,1099
faa_default,5,177,0.0542217660,-0.0200993609,-0.1118980991,-0.1934369876,714.0000000000,1826
tqqq_hold,5,177,0.3739670277,-0.0825354023,-0.6992194810,-0.9425048348,432.0000000000,1822
qqq_hold,5,177,0.1776767322,0.0447101564,-0.2854996642,-0.5340133745,239.0000000000,1136
vo,5,177,0.3949547640,0.1594644345,-0.3739220342,-0.5288300231,519.0000000000,887
faa7_equal_monthly,10,117,0.0420685562,0.0206146521,-0.2587542053,-0.4609941450,1099.0000000000,1099
faa_default,10,117,0.0294158038,0.0091251830,-0.1932947006,-0.1934369876,1950.0000000000,2118
tqqq_hold,10,117,0.3773612074,0.1784816812,-0.8165978918,-0.9425048348,620.0000000000,2105
qqq_hold,10,117,0.1817389629,0.1108086671,-0.3511239577,-0.5340133745,550.0000000000,1136
vo,10,117,0.4044943412,0.3030162597,-0.4576901058,-0.5288300231,519.0000000000,887
