fee_rate,period,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
0.0010000000,decade_2016_2025,recovery_15_breadth2_cool95,2016-01-04,2025-12-31,100000.0000000000,3196639.9578800900,30.9663995788,0.4145249266,67,6.7062887092,31707.0835990860,-0.4576977162,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,decade_2016_2025,cool_s10_l60_r95_block_cut,2016-01-04,2025-12-31,100000.0000000000,2595818.7045259457,24.9581870453,0.3853521448,65,6.5061009866,27149.0726339229,-0.4576979887,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,decade_2016_2025,cool_s5_l30_r80_block_cut,2016-01-04,2025-12-31,100000.0000000000,2477210.8688235106,23.7721086882,0.3788821098,65,6.5061009866,26026.2816423637,-0.4576948254,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,decade_2016_2025,cool_s5_l60_r65_block_cut,2016-01-04,2025-12-31,100000.0000000000,2477210.8688235106,23.7721086882,0.3788821098,65,6.5061009866,26026.2816423637,-0.4576948254,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,decade_2016_2025,cool_s10_l60_r65_block_cut,2016-01-04,2025-12-31,100000.0000000000,2477210.8688235106,23.7721086882,0.3788821098,65,6.5061009866,26026.2816423637,-0.4576948254,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,decade_2016_2025,riskadj_h60_t15_block_cut,2016-01-04,2025-12-31,100000.0000000000,3064081.0783709618,29.6408107837,0.4085411246,63,6.3059132639,30873.2187744161,-0.4576998215,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,decade_2016_2025,cool_s10_l30_r80_block_cut,2016-01-04,2025-12-31,100000.0000000000,2477210.8688235106,23.7721086882,0.3788821098,65,6.5061009866,26026.2816423637,-0.4576948254,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,decade_2016_2025,breadth_price_sma_h60_n3_block_cut,2016-01-04,2025-12-31,100000.0000000000,2471492.9396410752,23.7149293964,0.3785632044,59,5.9055378186,24656.3232669441,-0.4576965004,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,decade_2016_2025,cool_s10_l30_r95_block_cut,2016-01-04,2025-12-31,100000.0000000000,2470119.2294807881,23.7011922948,0.3784864897,65,6.5061009866,25963.7564604349,-0.4576954396,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,decade_2016_2025,riskadj_h20_t10_block_cut,2016-01-04,2025-12-31,100000.0000000000,2498025.2661139723,23.9802526611,0.3800374213,65,6.5061009866,26201.5828536572,-0.4576957963,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,decade_2016_2025,riskadj_h20_t15_block_cut,2016-01-04,2025-12-31,100000.0000000000,2477210.8688235106,23.7721086882,0.3788821098,65,6.5061009866,26026.2816423637,-0.4576948254,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,actual_pre2026,vo,2010-02-11,2025-12-31,100000.0000000000,24782981.0492282920,246.8298104923,0.4148639759,91,5.7285535160,548013.0351639321,-0.4602093870,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,actual_pre2026,recovery_10_breadth2_cool95,2010-02-11,2025-12-31,100000.0000000000,30568497.1671674214,304.6849716717,0.4336753920,93,5.8544557911,617693.4565082713,-0.4602093390,2021-11-19,2022-09-30,315,2023-06-05,248,563,563,2021-11-19
0.0020000000,actual_pre2026,consensus_20_60_120_n3_block_cut,2010-02-11,2025-12-31,100000.0000000000,29269380.6007560641,291.6938060076,0.4297612995,83,5.2249444157,587647.2112159901,-0.4602094670,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,actual_pre2026,riskadj_h60_t15_step_up,2010-02-11,2025-12-31,100000.0000000000,31864936.1411676593,317.6493614117,0.4374290060,95,5.9803580662,730357.1974937326,-0.4641182675,2021-11-19,2022-09-30,315,2023-06-05,248,563,563,2021-11-19
0.0020000000,actual_pre2026,recovery_15_breadth2_cool95,2010-02-11,2025-12-31,100000.0000000000,30306780.2235139757,302.0678022351,0.4328995729,93,5.8544557911,613973.4235376932,-0.4602094133,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,actual_pre2026,cool_s10_l60_r95_block_cut,2010-02-11,2025-12-31,100000.0000000000,26607449.9853473678,265.0744998535,0.4212049564,89,5.6026512410,568981.9762566193,-0.4602094493,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,actual_pre2026,cool_s5_l30_r80_block_cut,2010-02-11,2025-12-31,100000.0000000000,26272284.1908979118,261.7228419090,0.4200712692,87,5.4767489659,562752.3093453507,-0.4602093699,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,actual_pre2026,cool_s5_l60_r65_block_cut,2010-02-11,2025-12-31,100000.0000000000,25393059.5267009810,252.9305952670,0.4170316374,89,5.6026512410,545814.3863387345,-0.4602094770,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,actual_pre2026,cool_s10_l60_r65_block_cut,2010-02-11,2025-12-31,100000.0000000000,25393059.5267009810,252.9305952670,0.4170316374,89,5.6026512410,545814.3863387345,-0.4602094770,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,actual_pre2026,riskadj_h60_t15_block_cut,2010-02-11,2025-12-31,100000.0000000000,31433291.7778279297,313.3329177783,0.4361954047,87,5.4767489659,646203.7528245013,-0.4602095101,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,actual_pre2026,cool_s10_l30_r80_block_cut,2010-02-11,2025-12-31,100000.0000000000,25353115.3193054162,252.5311531931,0.4168912131,87,5.4767489659,543062.1270239570,-0.4602098658,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,actual_pre2026,breadth_price_sma_h60_n3_block_cut,2010-02-11,2025-12-31,100000.0000000000,25376964.9540804774,252.7696495408,0.4169750817,81,5.0990421406,515968.4574656541,-0.4602094405,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,actual_pre2026,cool_s10_l30_r95_block_cut,2010-02-11,2025-12-31,100000.0000000000,25280500.7872967049,251.8050078730,0.4166354041,87,5.4767489659,541775.9019830857,-0.4602088429,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,actual_pre2026,riskadj_h20_t10_block_cut,2010-02-11,2025-12-31,100000.0000000000,25606218.9498687983,255.0621894987,0.4177775199,89,5.6026512410,549428.2471897935,-0.4602097860,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,actual_pre2026,riskadj_h20_t15_block_cut,2010-02-11,2025-12-31,100000.0000000000,25393059.5267009810,252.9305952670,0.4170316374,89,5.6026512410,545814.3863387345,-0.4602094770,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,decade_2016_2025,vo,2016-01-04,2025-12-31,100000.0000000000,2341578.4782441179,22.4157847824,0.3711324704,67,6.7062887092,51098.0419247909,-0.4602006725,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,decade_2016_2025,recovery_10_breadth2_cool95,2016-01-04,2025-12-31,100000.0000000000,3136197.7615948897,30.3619776159,0.4118247742,67,6.7062887092,62646.6912336658,-0.4602027067,2021-11-19,2022-09-30,315,2023-06-05,248,563,563,2021-11-19
0.0020000000,decade_2016_2025,consensus_20_60_120_n3_block_cut,2016-01-04,2025-12-31,100000.0000000000,2769797.8077453412,26.6979780775,0.3943769559,61,6.1057255412,55109.0118880575,-0.4601983259,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,decade_2016_2025,riskadj_h60_t15_step_up,2016-01-04,2025-12-31,100000.0000000000,3010690.4758541193,29.1069047585,0.4060650084,71,7.1066641546,68325.9802148872,-0.4641139103,2021-11-19,2022-09-30,315,2023-06-05,248,563,563,2021-11-19
0.0020000000,decade_2016_2025,recovery_15_breadth2_cool95,2016-01-04,2025-12-31,100000.0000000000,3092655.2914611371,29.9265529146,0.4098504137,67,6.7062887092,61927.7663683779,-0.4602066733,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,decade_2016_2025,cool_s10_l60_r95_block_cut,2016-01-04,2025-12-31,100000.0000000000,2513931.1874139393,24.1393118741,0.3809144611,65,6.5061009866,53078.6120207724,-0.4602013384,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,decade_2016_2025,cool_s5_l30_r80_block_cut,2016-01-04,2025-12-31,100000.0000000000,2399229.0516076293,22.9922905161,0.3744745618,65,6.5061009866,50890.1254673172,-0.4601968136,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,decade_2016_2025,cool_s5_l60_r65_block_cut,2016-01-04,2025-12-31,100000.0000000000,2399229.0516076293,22.9922905161,0.3744745618,65,6.5061009866,50890.1254673172,-0.4601968136,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0020000000,decade_2016_2025,cool_s10_l60_r65_block_cut,2016-01-04,2025-12-31,100000.0000000000,2399229.0516076293,22.9922905161,0.3744745618,65,6.5061009866,50890.1254673172,-0.4601968136,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
