year,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
2010,vo,2010-01-04,2010-12-31,100000.0000000000,151100.5415888941,0.5110054159,0.5183530604,7,7.0822645429,362.3214775068,-0.3364946652,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,recovery_10_breadth2_cool95,2010-01-04,2010-12-31,100000.0000000000,151537.3826634773,0.5153738266,0.5227943766,7,7.0822645429,362.8485706926,-0.3364949239,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,consensus_20_60_120_n3_block_cut,2010-01-04,2010-12-31,100000.0000000000,151100.5415888941,0.5110054159,0.5183530604,7,7.0822645429,362.3214775068,-0.3364946652,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,riskadj_h60_t15_step_up,2010-01-04,2010-12-31,100000.0000000000,151100.5415888941,0.5110054159,0.5183530604,7,7.0822645429,362.3214775068,-0.3364946652,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,recovery_15_breadth2_cool95,2010-01-04,2010-12-31,100000.0000000000,151100.5415888941,0.5110054159,0.5183530604,7,7.0822645429,362.3214775068,-0.3364946652,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,cool_s10_l60_r95_block_cut,2010-01-04,2010-12-31,100000.0000000000,151100.5415888941,0.5110054159,0.5183530604,7,7.0822645429,362.3214775068,-0.3364946652,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,cool_s5_l30_r80_block_cut,2010-01-04,2010-12-31,100000.0000000000,156584.2839867156,0.5658428399,0.5741164823,7,7.0822645429,375.2554538049,-0.3364947016,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,cool_s5_l60_r65_block_cut,2010-01-04,2010-12-31,100000.0000000000,151100.5415888941,0.5110054159,0.5183530604,7,7.0822645429,362.3214775068,-0.3364946652,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,cool_s10_l60_r65_block_cut,2010-01-04,2010-12-31,100000.0000000000,151100.5415888941,0.5110054159,0.5183530604,7,7.0822645429,362.3214775068,-0.3364946652,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,riskadj_h60_t15_block_cut,2010-01-04,2010-12-31,100000.0000000000,151100.5415888941,0.5110054159,0.5183530604,7,7.0822645429,362.3214775068,-0.3364946652,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,cool_s10_l30_r80_block_cut,2010-01-04,2010-12-31,100000.0000000000,151100.5415888941,0.5110054159,0.5183530604,7,7.0822645429,362.3214775068,-0.3364946652,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,breadth_price_sma_h60_n3_block_cut,2010-01-04,2010-12-31,100000.0000000000,154429.6756635996,0.5442967566,0.5522037841,7,7.0822645429,366.3375333301,-0.3218752531,2010-04-23,2010-08-31,130,2010-09-24,24.0000000000,154.0000000000,154,2010-04-23
2010,cool_s10_l30_r95_block_cut,2010-01-04,2010-12-31,100000.0000000000,151100.5415888941,0.5110054159,0.5183530604,7,7.0822645429,362.3214775068,-0.3364946652,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,riskadj_h20_t10_block_cut,2010-01-04,2010-12-31,100000.0000000000,151100.5415888941,0.5110054159,0.5183530604,7,7.0822645429,362.3214775068,-0.3364946652,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,riskadj_h20_t15_block_cut,2010-01-04,2010-12-31,100000.0000000000,151100.5415888941,0.5110054159,0.5183530604,7,7.0822645429,362.3214775068,-0.3364946652,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2011,vo,2011-01-03,2011-12-30,100000.0000000000,94728.5836142488,-0.0527141639,-0.0533168500,6,6.0705124654,333.4714434476,-0.3116568616,2011-07-22,2011-10-03,73,,,,161,2011-07-22
2011,recovery_10_breadth2_cool95,2011-01-03,2011-12-30,100000.0000000000,87072.7336438970,-0.1292726636,-0.1306880093,8,8.0940166205,409.8863128829,-0.3672881419,2011-07-22,2011-10-03,73,,,,161,2011-07-22
2011,consensus_20_60_120_n3_block_cut,2011-01-03,2011-12-30,100000.0000000000,94728.5836142488,-0.0527141639,-0.0533168500,6,6.0705124654,333.4714434476,-0.3116568616,2011-07-22,2011-10-03,73,,,,161,2011-07-22
2011,riskadj_h60_t15_step_up,2011-01-03,2011-12-30,100000.0000000000,94728.5836142488,-0.0527141639,-0.0533168500,6,6.0705124654,333.4714434476,-0.3116568616,2011-07-22,2011-10-03,73,,,,161,2011-07-22
2011,recovery_15_breadth2_cool95,2011-01-03,2011-12-30,100000.0000000000,87796.3662782278,-0.1220363372,-0.1233781858,8,8.0940166205,410.8822380975,-0.3620298305,2011-07-22,2011-10-03,73,,,,161,2011-07-22
2011,cool_s10_l60_r95_block_cut,2011-01-03,2011-12-30,100000.0000000000,94728.5836142488,-0.0527141639,-0.0533168500,6,6.0705124654,333.4714434476,-0.3116568616,2011-07-22,2011-10-03,73,,,,161,2011-07-22
2011,cool_s5_l30_r80_block_cut,2011-01-03,2011-12-30,100000.0000000000,94728.5836142488,-0.0527141639,-0.0533168500,6,6.0705124654,333.4714434476,-0.3116568616,2011-07-22,2011-10-03,73,,,,161,2011-07-22
2011,cool_s5_l60_r65_block_cut,2011-01-03,2011-12-30,100000.0000000000,94728.5836142488,-0.0527141639,-0.0533168500,6,6.0705124654,333.4714434476,-0.3116568616,2011-07-22,2011-10-03,73,,,,161,2011-07-22
2011,cool_s10_l60_r65_block_cut,2011-01-03,2011-12-30,100000.0000000000,94728.5836142488,-0.0527141639,-0.0533168500,6,6.0705124654,333.4714434476,-0.3116568616,2011-07-22,2011-10-03,73,,,,161,2011-07-22
2011,riskadj_h60_t15_block_cut,2011-01-03,2011-12-30,100000.0000000000,94728.5836142488,-0.0527141639,-0.0533168500,6,6.0705124654,333.4714434476,-0.3116568616,2011-07-22,2011-10-03,73,,,,161,2011-07-22
2011,cool_s10_l30_r80_block_cut,2011-01-03,2011-12-30,100000.0000000000,94728.5836142488,-0.0527141639,-0.0533168500,6,6.0705124654,333.4714434476,-0.3116568616,2011-07-22,2011-10-03,73,,,,161,2011-07-22
2011,breadth_price_sma_h60_n3_block_cut,2011-01-03,2011-12-30,100000.0000000000,94728.5836142488,-0.0527141639,-0.0533168500,6,6.0705124654,333.4714434476,-0.3116568616,2011-07-22,2011-10-03,73,,,,161,2011-07-22
2011,cool_s10_l30_r95_block_cut,2011-01-03,2011-12-30,100000.0000000000,94728.5836142488,-0.0527141639,-0.0533168500,6,6.0705124654,333.4714434476,-0.3116568616,2011-07-22,2011-10-03,73,,,,161,2011-07-22
2011,riskadj_h20_t10_block_cut,2011-01-03,2011-12-30,100000.0000000000,94728.5836142488,-0.0527141639,-0.0533168500,6,6.0705124654,333.4714434476,-0.3116568616,2011-07-22,2011-10-03,73,,,,161,2011-07-22
2011,riskadj_h20_t15_block_cut,2011-01-03,2011-12-30,100000.0000000000,94728.5836142488,-0.0527141639,-0.0533168500,6,6.0705124654,333.4714434476,-0.3116568616,2011-07-22,2011-10-03,73,,,,161,2011-07-22
2012,vo,2012-01-03,2012-12-31,100000.0000000000,137034.8253592395,0.3703482536,0.3730180585,8,8.0494214876,496.9447977635,-0.3193842256,2012-04-03,2012-06-01,59,2012-09-06,97.0000000000,156.0000000000,156,2012-04-03
2012,recovery_10_breadth2_cool95,2012-01-03,2012-12-31,100000.0000000000,137034.8253592395,0.3703482536,0.3730180585,8,8.0494214876,496.9447977635,-0.3193842256,2012-04-03,2012-06-01,59,2012-09-06,97.0000000000,156.0000000000,156,2012-04-03
