period,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
common_full,tqqq_hold,2007-03-08,2026-07-31,100000.0000000000,15497556.8063022718,153.9755680630,0.2969146412,1,0.0515515173,99.9000723315,-0.9425049063,2007-10-31,2009-03-09,495,2013-08-05,1610,2105,2105,2007-10-31
common_full,qqq_hold,2007-03-08,2026-07-31,100000.0000000000,1856231.5761429782,17.5623157614,0.1625186062,1,0.0515515173,99.8655519575,-0.5338953907,2007-10-31,2008-11-20,386,2010-12-10,750,1136,1136,2007-10-31
common_full,vo,2007-03-08,2026-07-31,100000.0000000000,35927296.3128379360,358.2729631284,0.3543659047,112,5.7737699365,490097.0945142142,-0.5288287782,2007-10-31,2009-05-13,560,2010-04-05,327,887,887,2007-10-31
common_full,gtaa5_buyhold,2007-03-08,2026-07-31,100000.0000000000,324539.0625095686,2.2453906251,0.0625676470,1,0.0515515173,99.8844476884,-0.4349235240,2008-05-19,2009-03-09,294,2012-09-06,1277,1571,1571,2008-05-19
common_full,gtaa5,2007-03-08,2026-07-31,100000.0000000000,232148.2256052876,1.3214822561,0.0443732986,231,11.9084004940,5769.8825474433,-0.1482645072,2008-05-21,2008-10-27,159,2009-11-16,385,544,1040,2011-04-29
common_full,gem,2007-03-08,2026-07-31,100000.0000000000,445667.4165118549,3.4566741651,0.0800839083,34,1.7527515879,12797.5501852860,-0.3370659768,2020-02-19,2020-03-23,33,2021-01-07,290,323,780,2022-01-03
common_full,stocks_bonds_60_40_buyhold,2007-03-08,2026-07-31,100000.0000000000,527581.1564792190,4.2758115648,0.0895197521,1,0.0515515173,99.8576513815,-0.2680083231,2007-10-09,2009-03-09,517,2010-10-06,576,1093,1093,2007-10-09
common_full,permanent_25_buyhold,2007-03-08,2026-07-31,100000.0000000000,402808.3601332073,3.0280836013,0.0744686401,1,0.0515515173,74.8930760449,-0.1672410332,2021-12-27,2022-10-14,291,2023-12-01,413,704,1344,2012-10-04
recent_10y,tqqq_hold,2016-08-01,2026-07-31,100000.0000000000,2754363.5768316649,26.5436357683,0.3933439342,1,0.1000390304,99.8995207187,-0.8165982230,2021-11-19,2022-12-28,404,2024-12-04,707,1111,1111,2021-11-19
recent_10y,qqq_hold,2016-08-01,2026-07-31,100000.0000000000,638502.0676327465,5.3850206763,0.2037814776,1,0.1000390304,99.8527905143,-0.3511413524,2021-12-27,2022-11-03,311,2023-12-13,405,716,716,2021-12-27
recent_10y,vo,2016-08-01,2026-07-31,100000.0000000000,2337982.1200916795,22.3798212009,0.3706846366,72,7.2028101890,31468.7743303538,-0.4576940956,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
recent_10y,gtaa5_buyhold,2016-08-01,2026-07-31,100000.0000000000,231195.7147512170,1.3119571475,0.0874572281,1,0.1000390304,99.8991996782,-0.2687716813,2020-02-19,2020-03-23,33,2020-11-16,238,271,708,2022-03-30
recent_10y,gtaa5,2016-08-01,2026-07-31,100000.0000000000,168519.3515263852,0.6851935153,0.0535952989,119,11.9046446179,2726.8456717516,-0.0933769619,2022-03-08,2023-03-15,372,2024-08-19,523,895,895,2022-03-08
recent_10y,gem,2016-08-01,2026-07-31,100000.0000000000,263728.4313011622,1.6372843130,0.1018745013,19,1.9007415776,5646.7072734175,-0.3368537887,2020-02-19,2020-03-23,33,2021-01-07,290,323,780,2022-01-03
recent_10y,stocks_bonds_60_40_buyhold,2016-08-01,2026-07-31,100000.0000000000,283168.3930504021,1.8316839305,0.1097422509,1,0.1000390304,99.8533817112,-0.2256473448,2021-12-27,2022-10-14,291,2024-01-19,462,753,753,2021-12-27
recent_10y,permanent_25_buyhold,2016-08-01,2026-07-31,100000.0000000000,223666.6612471771,1.2366666125,0.0838614517,1,0.1000390304,74.8405130103,-0.1547151637,2021-12-27,2022-10-14,291,2023-12-13,425,716,716,2021-12-27
