fee_rate,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
0.0010000000,tqqq_hold,2007-03-08,2026-07-31,100000.0000000000,15497556.8063022718,153.9755680630,0.2969146412,1,0.0515515173,99.9000723315,-0.9425049063,2007-10-31,2009-03-09,495,2013-08-05,1610,2105,2105,2007-10-31
0.0010000000,qqq_hold,2007-03-08,2026-07-31,100000.0000000000,1856231.5761429782,17.5623157614,0.1625186062,1,0.0515515173,99.8655519575,-0.5338953907,2007-10-31,2008-11-20,386,2010-12-10,750,1136,1136,2007-10-31
0.0010000000,vo,2007-03-08,2026-07-31,100000.0000000000,35927296.3128379360,358.2729631284,0.3543659047,112,5.7737699365,490097.0945142142,-0.5288287782,2007-10-31,2009-05-13,560,2010-04-05,327,887,887,2007-10-31
0.0010000000,gtaa5_buyhold,2007-03-08,2026-07-31,100000.0000000000,324539.0625095686,2.2453906251,0.0625676470,1,0.0515515173,99.8844476884,-0.4349235240,2008-05-19,2009-03-09,294,2012-09-06,1277,1571,1571,2008-05-19
0.0010000000,gtaa5,2007-03-08,2026-07-31,100000.0000000000,232148.2256052876,1.3214822561,0.0443732986,231,11.9084004940,5769.8825474433,-0.1482645072,2008-05-21,2008-10-27,159,2009-11-16,385,544,1040,2011-04-29
0.0010000000,gem,2007-03-08,2026-07-31,100000.0000000000,445667.4165118549,3.4566741651,0.0800839083,34,1.7527515879,12797.5501852860,-0.3370659768,2020-02-19,2020-03-23,33,2021-01-07,290,323,780,2022-01-03
0.0010000000,stocks_bonds_60_40_buyhold,2007-03-08,2026-07-31,100000.0000000000,527581.1564792190,4.2758115648,0.0895197521,1,0.0515515173,99.8576513815,-0.2680083231,2007-10-09,2009-03-09,517,2010-10-06,576,1093,1093,2007-10-09
0.0010000000,permanent_25_buyhold,2007-03-08,2026-07-31,100000.0000000000,402808.3601332073,3.0280836013,0.0744686401,1,0.0515515173,74.8930760449,-0.1672410332,2021-12-27,2022-10-14,291,2023-12-01,413,704,1344,2012-10-04
0.0020000000,tqqq_hold,2007-03-08,2026-07-31,100000.0000000000,15482048.2780682929,153.8204827807,0.2968477041,1,0.0515515173,199.6001995581,-0.9425036110,2007-10-31,2009-03-09,495,2013-08-05,1610,2105,2105,2007-10-31
0.0020000000,qqq_hold,2007-03-08,2026-07-31,100000.0000000000,1854829.9079886554,17.5482990799,0.1624733362,1,0.0515515173,199.5830452760,-0.5340027830,2007-10-31,2008-11-20,386,2010-12-10,750,1136,1136,2007-10-31
0.0020000000,vo,2007-03-08,2026-07-31,100000.0000000000,34014566.6428935528,339.1456664289,0.3505515605,112,5.7737699365,937883.1838125477,-0.5304628896,2007-10-31,2009-05-13,560,2010-04-06,328,888,888,2007-10-31
0.0020000000,gtaa5_buyhold,2007-03-08,2026-07-31,100000.0000000000,324394.3054262080,2.2439430543,0.0625432092,1,0.0515515173,199.5645493326,-0.4347871161,2008-05-19,2009-03-09,294,2012-08-31,1271,1565,1565,2008-05-19
0.0020000000,gtaa5,2007-03-08,2026-07-31,100000.0000000000,223324.4393013363,1.2332443930,0.0422890933,232,11.9599520113,11302.2581047905,-0.1489113434,2008-05-21,2008-10-27,159,2009-11-16,385,544,1089,2011-04-29
0.0020000000,gem,2007-03-08,2026-07-31,100000.0000000000,418700.7878913831,3.1870078789,0.0766141497,32,1.6496485533,24636.6976410881,-0.3371425822,2020-02-19,2020-03-23,33,2021-01-08,291,324,788,2022-01-03
0.0020000000,stocks_bonds_60_40_buyhold,2007-03-08,2026-07-31,100000.0000000000,527398.8430132758,4.2739884301,0.0895003398,1,0.0515515173,199.5088273551,-0.2684572813,2007-10-09,2009-03-09,517,2010-10-08,578,1095,1095,2007-10-09
0.0020000000,permanent_25_buyhold,2007-03-08,2026-07-31,100000.0000000000,402733.4670571624,3.0273346706,0.0744583406,1,0.0515515173,149.7861520898,-0.1672905438,2021-12-27,2022-10-14,291,2023-12-01,413,704,1344,2012-10-04
0.0050000000,tqqq_hold,2007-03-08,2026-07-31,100000.0000000000,15435844.8998754043,153.3584489988,0.2966479061,1,0.0515515173,497.5113244163,-0.9425039703,2007-10-31,2009-03-09,495,2013-08-05,1610,2105,2105,2007-10-31
0.0050000000,qqq_hold,2007-03-08,2026-07-31,100000.0000000000,1849324.2113631130,17.4932421136,0.1622952031,1,0.0515515173,497.4770268008,-0.5340101311,2007-10-31,2008-11-20,386,2010-12-10,750,1136,1136,2007-10-31
0.0050000000,vo,2007-03-08,2026-07-31,100000.0000000000,28868642.8584175296,287.6864285842,0.3391792529,112,5.7737699365,2055273.1921737036,-0.5353334018,2007-10-31,2009-05-13,560,2010-04-09,331,891,891,2007-10-31
0.0050000000,gtaa5_buyhold,2007-03-08,2026-07-31,100000.0000000000,323970.1734757122,2.2397017348,0.0624715478,1,0.0515515173,497.4809510220,-0.4344737607,2008-05-19,2009-03-09,294,2012-08-22,1262,1556,1556,2008-05-19
0.0050000000,gtaa5,2007-03-08,2026-07-31,100000.0000000000,198596.0154056030,0.9859601541,0.0360025705,232,11.9599520113,26502.3711153239,-0.1506824210,2008-05-21,2008-10-27,159,2009-12-02,401,560,1124,2011-04-29
0.0050000000,gem,2007-03-08,2026-07-31,100000.0000000000,346429.2525901330,2.4642925259,0.0661491111,32,1.6496485533,54940.4634113022,-0.3371024709,2020-02-19,2020-03-23,33,2021-01-20,303,336,863,2022-01-03
