model,window_years,window_count,median_cagr,worst_cagr,worst_mdd,worst_longest_tuw_days
tqqq_hold,5,173,0.3837639502,-0.0825358672,-0.9425050253,1822
qqq_hold,5,173,0.1782955300,0.0447102386,-0.5340129269,1136
vo,5,173,0.4036186763,0.1594643041,-0.5288302550,887
gtaa5_buyhold,5,173,0.0602986184,0.0027861654,-0.4495812401,1555
gtaa5,5,173,0.0398705046,0.0030893078,-0.1483385437,1040
gem,5,173,0.0883891626,-0.0083432193,-0.3371677826,780
stocks_bonds_60_40_buyhold,5,173,0.0930286043,0.0358795726,-0.2824195831,1093
permanent_25_buyhold,5,173,0.0604620346,0.0312037183,-0.1622517524,718
tqqq_hold,10,113,0.3780154328,0.2026032431,-0.9425050253,2105
qqq_hold,10,113,0.1821314769,0.1180479786,-0.5340129269,1136
vo,10,113,0.4083356105,0.3040360992,-0.5288302550,887
gtaa5_buyhold,10,113,0.0643566375,0.0336213179,-0.4495812401,1571
gtaa5,10,113,0.0360828045,0.0199108422,-0.1483385437,1040
gem,10,113,0.0728181520,0.0453905097,-0.3371707959,780
stocks_bonds_60_40_buyhold,10,113,0.0976780521,0.0635955598,-0.2824195831,1093
permanent_25_buyhold,10,113,0.0612114559,0.0399574612,-0.1763880716,1364
