fee_rate,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
0.0010000000,tqqq_hold,2007-04-11,2026-07-31,100000.0000000000,14015949.7473704871,139.1594974737,0.2917999406,1,0.0518000993,99.8997086529,-0.9425029807,2007-10-31,2009-03-09,495,2013-08-05,1610,2105,2105,2007-10-31
0.0010000000,qqq_hold,2007-04-11,2026-07-31,100000.0000000000,1792252.1667177887,16.9225216672,0.1612512608,1,0.0518000993,99.8618959469,-0.5338743831,2007-10-31,2008-11-20,386,2010-12-10,750,1136,1136,2007-10-31
0.0010000000,vo,2007-04-11,2026-07-31,100000.0000000000,32492570.5339515507,323.9257053395,0.3493066607,112,5.8016111190,443252.4412823033,-0.5288291310,2007-10-31,2009-05-13,560,2010-04-05,327,887,887,2007-10-31
0.0010000000,paa_n12_buyhold,2007-04-11,2026-07-31,100000.0000000000,431797.9928336769,3.3179799283,0.0787171890,1,0.0518000993,99.6941342296,-0.3938949268,2008-05-19,2009-03-09,294,2010-11-04,605,899,899,2008-05-19
0.0010000000,paa2,2007-04-11,2026-07-31,100000.0000000000,282973.7777021977,1.8297377770,0.0553596792,185,9.5830183662,18965.5698737474,-0.1433313359,2011-04-29,2011-08-08,101,2013-01-18,529,630,975,2021-11-08
0.0020000000,tqqq_hold,2007-04-11,2026-07-31,100000.0000000000,14001991.6121451631,139.0199161215,0.2917332698,1,0.0518000993,199.6004450970,-0.9425041069,2007-10-31,2009-03-09,495,2013-08-05,1610,2105,2105,2007-10-31
0.0020000000,qqq_hold,2007-04-11,2026-07-31,100000.0000000000,1790853.1475820555,16.9085314758,0.1612042885,1,0.0518000993,199.5704530900,-0.5339741052,2007-10-31,2008-11-20,386,2010-12-10,750,1136,1136,2007-10-31
0.0020000000,vo,2007-04-11,2026-07-31,100000.0000000000,30762862.5307641737,306.6286253076,0.3454886308,112,5.8016111190,848242.8004064964,-0.5304616316,2007-10-31,2009-05-13,560,2010-04-06,328,888,888,2007-10-31
0.0020000000,paa_n12_buyhold,2007-04-11,2026-07-31,100000.0000000000,431698.2986994474,3.3169829870,0.0787042865,1,0.0518000993,199.3882684592,-0.3942495081,2008-05-19,2009-03-09,294,2010-11-04,605,899,899,2008-05-19
0.0020000000,paa2,2007-04-11,2026-07-31,100000.0000000000,250204.2861238602,1.5020428612,0.0486527675,185,9.5830183662,35376.3818689389,-0.1452557365,2011-04-29,2011-08-08,101,2013-03-27,597,698,1046,2021-11-08
0.0050000000,tqqq_hold,2007-04-11,2026-07-31,100000.0000000000,13960182.5574184526,138.6018255742,0.2915331917,1,0.0518000993,497.5111240959,-0.9425036452,2007-10-31,2009-03-09,495,2013-08-05,1610,2105,2105,2007-10-31
0.0050000000,qqq_hold,2007-04-11,2026-07-31,100000.0000000000,1785358.0829760972,16.8535808298,0.1610194533,1,0.0518000993,497.3927446874,-0.5339354013,2007-10-31,2008-11-20,386,2010-12-10,750,1136,1136,2007-10-31
0.0050000000,vo,2007-04-11,2026-07-31,100000.0000000000,26108820.6755593345,260.0882067556,0.3341044100,112,5.8016111190,1858838.3288456390,-0.5353328944,2007-10-31,2009-05-13,560,2010-04-09,331,891,891,2007-10-31
0.0050000000,paa_n12_buyhold,2007-04-11,2026-07-31,100000.0000000000,431179.3642458955,3.3117936425,0.0786370798,1,0.0518000993,497.4500345851,-0.3951524206,2008-05-19,2009-03-09,294,2010-11-04,605,899,899,2008-05-19
0.0050000000,paa2,2007-04-11,2026-07-31,100000.0000000000,173079.4156672275,0.7307941567,0.0288241177,184,9.5312182669,72180.3928128051,-0.1512061149,2011-04-29,2011-08-08,101,2013-05-15,646,747,1442,2021-11-08
