model,window_years,window_count,median_cagr,worst_cagr,worst_mdd,worst_longest_tuw_days
tqqq_hold,5,172,0.3847079999,-0.0825358672,-0.9425050253,1822
qqq_hold,5,172,0.1786011647,0.0447102386,-0.5340129269,1136
vo,5,172,0.4036931166,0.1594643041,-0.5288302550,887
paa_n12_buyhold,5,172,0.0691964157,0.0202238431,-0.4112246944,959
paa2,5,172,0.0486575912,0.0192107872,-0.1435719361,975
tqqq_hold,10,112,0.3782427773,0.2026032431,-0.9425050253,2105
qqq_hold,10,112,0.1823341972,0.1180479786,-0.5340129269,1136
vo,10,112,0.4086297266,0.3040360992,-0.5288302550,887
paa_n12_buyhold,10,112,0.0740588607,0.0487849623,-0.4112246944,959
paa2,10,112,0.0507218334,0.0332774884,-0.1435719361,975
