period,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
full_pre2026,ret_tqqq_250_step_up,1999-03-10,2025-12-31,100000.0000000000,150656782.1014797091,1505.5678210148,0.3137936717,261,9.7343298785,2262113.8441711725,-0.5062513928,2007-10-31,2009-05-13,560,2009-12-23,224.0000000000,784.0000000000,1249,2000-01-03
full_pre2026,ret_tqqq_250_block_cut,1999-03-10,2025-12-31,100000.0000000000,144054128.6121648252,1439.5412861216,0.3115995800,144,5.3706647605,1555865.7335317845,-0.5288319927,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,1281,2000-01-03
full_pre2026,ret_tqqq_300_floor50,1999-03-10,2025-12-31,100000.0000000000,152273974.3750635386,1521.7397437506,0.3143169487,196,7.3100714796,1706634.6879369253,-0.5082540398,2007-10-31,2009-04-20,537,2009-12-24,248.0000000000,785.0000000000,1334,2000-01-03
full_pre2026,ret_tqqq_300_floor100,1999-03-10,2025-12-31,100000.0000000000,100987229.4456627965,1008.8722944566,0.2943388063,267,9.9581075768,1794266.5692637882,-0.7121300007,2000-01-03,2001-05-30,513,2005-11-21,1636.0000000000,2149.0000000000,2149,2000-01-03
full_pre2026,ret_tqqq_300_step_up,1999-03-10,2025-12-31,100000.0000000000,137081810.6080099940,1369.8181060801,0.3091749528,273,10.1818852752,2318077.2011884721,-0.5347825290,2007-10-31,2009-05-13,560,2010-01-04,236.0000000000,796.0000000000,1281,2000-01-03
full_pre2026,ret_tqqq_300_block_cut,1999-03-10,2025-12-31,100000.0000000000,154202178.2330692410,1541.0217823307,0.3149339123,148,5.5198498928,1665935.5001535844,-0.5288317248,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,1248,2000-01-03
full_pre2026,ret_tqqq_400_floor50,1999-03-10,2025-12-31,100000.0000000000,147634441.2496708035,1475.3444124967,0.3128010668,200,7.4592566119,1668519.6018397897,-0.5231648859,2007-10-31,2009-04-20,537,2009-12-28,252.0000000000,789.0000000000,1344,2000-01-03
full_pre2026,ret_tqqq_400_floor100,1999-03-10,2025-12-31,100000.0000000000,104151995.9470081478,1040.5199594701,0.2958292682,242,9.0257005004,1592118.8455875954,-0.7271238712,2000-01-03,2001-05-04,487,2006-11-20,2026.0000000000,2513.0000000000,2513,2000-01-03
full_pre2026,ret_tqqq_400_step_up,1999-03-10,2025-12-31,100000.0000000000,146139501.4341298342,1460.3950143413,0.3123028410,246,9.1748856326,2085074.8946506747,-0.5539957375,2007-10-31,2009-05-13,560,2010-04-13,335.0000000000,895.0000000000,1340,2000-01-03
full_pre2026,ret_tqqq_400_block_cut,1999-03-10,2025-12-31,100000.0000000000,160642482.3180555105,1605.4248231806,0.3169420871,152,5.6690350250,1765626.6169691645,-0.5288318279,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,1248,2000-01-03
full_pre2026,varshare_tqqq_55_floor50,1999-03-10,2025-12-31,100000.0000000000,83536617.3328924775,834.3661733289,0.2852131112,231,8.6154413867,1122087.5739541333,-0.6873705069,2000-01-03,2002-09-19,990,2005-11-25,1163.0000000000,2153.0000000000,2153,2000-01-03
full_pre2026,varshare_tqqq_55_floor100,1999-03-10,2025-12-31,100000.0000000000,20822233.6802198552,207.2223368022,0.2203164090,294,10.9651072194,436820.4167229626,-0.9137130492,2000-01-03,2002-09-19,990,2013-10-17,4046.0000000000,5036.0000000000,5036,2000-01-03
full_pre2026,varshare_tqqq_55_step_up,1999-03-10,2025-12-31,100000.0000000000,75675271.0834861100,755.7527108349,0.2804843731,317,11.8229217298,1341038.4967792090,-0.7009867813,2007-10-31,2009-02-10,468,2011-01-05,694.0000000000,1162.0000000000,2200,2000-01-03
full_pre2026,varshare_tqqq_55_block_cut,1999-03-10,2025-12-31,100000.0000000000,147675180.2942638993,1475.7518029426,0.3128145760,128,4.7739242316,1526624.4520383303,-0.5447118566,2007-10-31,2009-05-13,560,2010-04-13,335.0000000000,895.0000000000,1242,2000-01-03
full_pre2026,varshare_tqqq_60_floor50,1999-03-10,2025-12-31,100000.0000000000,106165484.4543787986,1060.6548445438,0.2967550006,212,7.9068120086,1449553.8119116072,-0.5931061461,2000-01-03,2002-06-21,900,2004-11-18,881.0000000000,1781.0000000000,1781,2000-01-03
full_pre2026,varshare_tqqq_60_floor100,1999-03-10,2025-12-31,100000.0000000000,35329710.7927280590,352.2971079273,0.2446182184,284,10.5921443888,772653.2240266956,-0.8497557099,2000-01-03,2002-06-21,900,2010-03-23,2832.0000000000,3732.0000000000,3732,2000-01-03
full_pre2026,varshare_tqqq_60_step_up,1999-03-10,2025-12-31,100000.0000000000,84550711.7208524644,844.5071172085,0.2857916295,293,10.9278109364,1466275.2662742902,-0.5711170730,2000-01-03,2002-06-21,900,2005-11-18,1246.0000000000,2146.0000000000,2146,2000-01-03
full_pre2026,varshare_tqqq_60_block_cut,1999-03-10,2025-12-31,100000.0000000000,179241956.7663990855,1791.4195676640,0.3223341290,138,5.1468870622,1863679.7660156870,-0.5178972576,2007-10-31,2009-05-13,560,2010-03-23,314.0000000000,874.0000000000,1173,2000-01-03
full_pre2026,varshare_tqqq_65_floor50,1999-03-10,2025-12-31,100000.0000000000,203920101.1718786657,2038.2010117188,0.3287110855,202,7.5338491780,2536103.1374653783,-0.4750602860,2021-11-19,2022-12-28,404,2023-06-14,168.0000000000,572.0000000000,1282,2000-01-03
full_pre2026,varshare_tqqq_65_floor100,1999-03-10,2025-12-31,100000.0000000000,194404851.9025204778,1943.0485190252,0.3263451415,243,9.0629967834,3344329.6432216163,-0.6420565384,2000-01-03,2002-06-20,899,2005-11-21,1250.0000000000,2149.0000000000,2149,2000-01-03
full_pre2026,varshare_tqqq_65_step_up,1999-03-10,2025-12-31,100000.0000000000,225031723.2164977491,2249.3172321650,0.3336019800,247,9.2121819157,3285094.2680826685,-0.5064439657,2021-11-19,2022-12-28,404,2023-07-18,202.0000000000,606.0000000000,1276,2000-01-03
full_pre2026,varshare_tqqq_65_block_cut,1999-03-10,2025-12-31,100000.0000000000,167460376.8523384333,1673.6037685234,0.3189852439,148,5.5198498928,1790028.1606693598,-0.5474360817,2007-10-31,2009-05-13,560,2010-04-13,335.0000000000,895.0000000000,1173,2000-01-03
full_pre2026,varshare_tqqq_70_floor50,1999-03-10,2025-12-31,100000.0000000000,161787345.3252117634,1616.8734532521,0.3172909380,180,6.7133309507,2159955.5460569048,-0.4968505237,2021-11-19,2022-12-28,404,2023-07-12,196.0000000000,600.0000000000,1260,2000-01-03
full_pre2026,varshare_tqqq_70_floor100,1999-03-10,2025-12-31,100000.0000000000,158205418.8111642003,1581.0541881116,0.3161914498,211,7.8695157255,3228661.9134913776,-0.6090068815,2021-11-19,2022-12-28,404,2024-01-29,397.0000000000,801.0000000000,1340,2000-01-03
full_pre2026,varshare_tqqq_70_step_up,1999-03-10,2025-12-31,100000.0000000000,193155810.7431924641,1930.5581074319,0.3260263268,208,7.7576268763,3110694.2217193749,-0.5466913202,2021-11-19,2022-12-28,404,2023-12-19,356.0000000000,760.0000000000,1173,2000-01-03
full_pre2026,varshare_tqqq_70_block_cut,1999-03-10,2025-12-31,100000.0000000000,173215578.1072303653,1731.1557810723,0.3206485398,152,5.6690350250,1903697.1686727153,-0.5288317140,2007-10-31,2009-05-13,560,2010-04-05,327.0000000000,887.0000000000,1173,2000-01-03
full_pre2026,varshare_tqqq_75_floor50,1999-03-10,2025-12-31,100000.0000000000,169937708.8097998500,1698.3770880980,0.3197078536,172,6.4149606862,1977405.1721526384,-0.5039819549,2007-10-31,2009-05-13,560,2009-12-28,229.0000000000,789.0000000000,1249,2000-01-03
