year,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
2010,vo,2010-01-04,2010-12-31,100000.0000000000,151100.3322077855,0.5110033221,0.5183509317,7,7.0822645429,362.3213502728,-0.3364947361,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,filtered_ret_qqq_40_return60_block_cut,2010-01-04,2010-12-31,100000.0000000000,151100.3322077855,0.5110033221,0.5183509317,7,7.0822645429,362.3213502728,-0.3364947361,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,filtered_ret_qqq_40_return200_block_cut,2010-01-04,2010-12-31,100000.0000000000,151100.3322077855,0.5110033221,0.5183509317,7,7.0822645429,362.3213502728,-0.3364947361,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,filtered_ret_qqq_40_sma150_block_cut,2010-01-04,2010-12-31,100000.0000000000,151100.3322077855,0.5110033221,0.5183509317,7,7.0822645429,362.3213502728,-0.3364947361,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,filtered_ret_qqq_40_sma100_block_cut,2010-01-04,2010-12-31,100000.0000000000,151100.3322077855,0.5110033221,0.5183509317,7,7.0822645429,362.3213502728,-0.3364947361,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,ret_qqq_40_block_cut,2010-01-04,2010-12-31,100000.0000000000,151100.3322077855,0.5110033221,0.5183509317,7,7.0822645429,362.3213502728,-0.3364947361,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,filtered_ret_qqq_40_sma200_block_cut,2010-01-04,2010-12-31,100000.0000000000,151100.3322077855,0.5110033221,0.5183509317,7,7.0822645429,362.3213502728,-0.3364947361,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,combo_qqq_30_65_floor50,2010-01-04,2010-12-31,100000.0000000000,151100.3322077855,0.5110033221,0.5183509317,7,7.0822645429,362.3213502728,-0.3364947361,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,magratio_qqq_200_step_up,2010-01-04,2010-12-31,100000.0000000000,151100.3322077855,0.5110033221,0.5183509317,7,7.0822645429,362.3213502728,-0.3364947361,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
2010,magratio_tqqq_200_step_up,2010-01-04,2010-12-31,100000.0000000000,151100.3322077855,0.5110033221,0.5183509317,7,7.0822645429,362.3213502728,-0.3364947361,2010-04-23,2010-08-31,130,2010-10-12,42.0000000000,172.0000000000,172,2010-04-23
