fee_rate,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
0.0010000000,ret_qqq_150_step_up,2010-02-11,2025-12-31,100000.0000000000,28187049.4932388477,280.8704949324,0.4263739888,113,7.1134785419,396471.6553089005,-0.4584004478,2024-12-16,2025-05-23,158,,,,560,2021-11-19
0.0010000000,combo_tqqq_300_65_block_cut,2010-02-11,2025-12-31,100000.0000000000,26530896.5503377095,264.3089655034,0.4209472009,89,5.6026512410,282370.6605550498,-0.4577015838,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0020000000,vo,2010-02-11,2025-12-31,100000.0000000000,24782960.7979233339,246.8296079792,0.4148639031,91,5.7285535160,548012.7735486442,-0.4602091244,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0020000000,filtered_ret_qqq_40_return60_block_cut,2010-02-11,2025-12-31,100000.0000000000,29316995.0593947135,292.1699505939,0.4299076053,83,5.2249444157,576867.7622300584,-0.4602091925,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0020000000,filtered_ret_qqq_40_return200_block_cut,2010-02-11,2025-12-31,100000.0000000000,29022269.6609719247,289.2226966097,0.4289983962,81,5.0990421406,570673.5970253529,-0.4602096332,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0020000000,filtered_ret_qqq_40_sma150_block_cut,2010-02-11,2025-12-31,100000.0000000000,29242158.0354299247,291.4215803543,0.4296775519,83,5.2249444157,575401.1025726439,-0.4602091321,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0020000000,filtered_ret_qqq_40_sma100_block_cut,2010-02-11,2025-12-31,100000.0000000000,29242158.0354299247,291.4215803543,0.4296775519,83,5.2249444157,575401.1025726439,-0.4602091321,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0020000000,ret_qqq_40_block_cut,2010-02-11,2025-12-31,100000.0000000000,29022269.6609719247,289.2226966097,0.4289983962,81,5.0990421406,570673.5970253529,-0.4602096332,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0020000000,filtered_ret_qqq_40_sma200_block_cut,2010-02-11,2025-12-31,100000.0000000000,29022269.6609719247,289.2226966097,0.4289983962,81,5.0990421406,570673.5970253529,-0.4602096332,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
0.0020000000,combo_qqq_30_65_floor50,2010-02-11,2025-12-31,100000.0000000000,25439408.7784293294,253.3940877843,0.4171943195,101,6.3580648914,656618.9826874051,-0.4662425409,2021-11-19,2022-09-30,315,2023-06-12,255.0000000000,570.0000000000,570,2021-11-19
0.0020000000,magratio_qqq_200_step_up,2010-02-11,2025-12-31,100000.0000000000,25494652.1655210294,253.9465216552,0.4173878568,127,7.9947944674,817868.0804864921,-0.4682444233,2024-12-16,2025-05-23,158,,,,560,2021-11-19
0.0020000000,magratio_tqqq_200_step_up,2010-02-11,2025-12-31,100000.0000000000,25255333.2154968157,251.5533321550,0.4165465823,125,7.8688921923,769076.9901013526,-0.4682444984,2024-12-16,2025-05-23,158,,,,560,2021-11-19
0.0020000000,filtered_ret_qqq_60_return60_block_cut,2010-02-11,2025-12-31,100000.0000000000,25341453.3108395897,252.4145331084,0.4168501761,87,5.4767489659,531557.4831265337,-0.4602091024,2021-11-19,2022-09-30,315,2023-06-02,245.0000000000,560.0000000000,560,2021-11-19
