model,window_years,window_count,median_cagr,worst_cagr,median_mdd,worst_mdd,median_longest_tuw_days,worst_longest_tuw_days
tqqq_hold,5,138,0.3934282144,0.0820933781,-0.6992186411,-0.8165981334,432.0000000000,1111
qqq_hold,5,138,0.1790561819,0.1196183942,-0.2854804159,-0.3511797868,239.0000000000,716
vo,5,138,0.4047716314,0.1910584530,-0.3739222770,-0.4576920038,519.0000000000,560
three_percent,5,138,0.2648166076,0.0787359719,-0.5122143688,-0.6138146577,675.0000000000,756
vr5,5,138,0.3842310950,0.0988780605,-0.6205913276,-0.8039596806,308.0000000000,959
faber_10m,5,138,0.3219243559,0.0036731824,-0.6263900879,-0.6992200998,552.0000000000,1181
sma_200,5,138,0.2696475408,-0.0074151833,-0.5802151437,-0.6006739936,754.0000000000,1274
golden_cross,5,138,0.3389426068,0.0274520724,-0.5905017906,-0.6992206578,553.0000000000,665
absolute_momentum_12m,5,138,0.3751425048,0.0712807276,-0.6141442641,-0.6992205899,578.0000000000,935
tsmom_12m,5,138,0.3751425048,0.0712807276,-0.6141442641,-0.6992205899,578.0000000000,935
turtle_55_20,5,138,0.1504635418,-0.0094079185,-0.4211848087,-0.4623140148,712.0000000000,1252
halloween,5,138,0.1356858666,-0.0800382759,-0.6947498243,-0.6992196616,677.0000000000,833
turn_of_month,5,138,0.0521490159,-0.1135539611,-0.3921280877,-0.5417643025,975.0000000000,1827
macd,5,138,0.1758858483,-0.0433475672,-0.5020335370,-0.6206069826,713.0000000000,1685
rsi2,5,138,0.2865215886,0.0874544854,-0.4183162397,-0.4981621549,462.0000000000,865
tqqq_hold,10,78,0.3806172226,0.2917990863,-0.8165979281,-0.8165984709,512.5000000000,1111
qqq_hold,10,78,0.1858718631,0.1536657314,-0.3511138093,-0.3511850605,474.5000000000,716
vo,10,78,0.4017455844,0.3040360992,-0.4576934641,-0.4577013364,523.5000000000,560
three_percent,10,78,0.2736376964,0.2011107721,-0.6138184675,-0.6138367448,675.0000000000,756
vr5,10,78,0.3849040073,0.3039641280,-0.7995542267,-0.8024819815,474.5000000000,959
faber_10m,10,78,0.3169967683,0.1168470271,-0.6992170566,-0.6992206195,689.0000000000,1181
sma_200,10,78,0.2683585981,0.0847352715,-0.6006729539,-0.6006739966,814.0000000000,1274
golden_cross,10,78,0.3376214503,0.1660416518,-0.6992175614,-0.6992205728,665.0000000000,665
absolute_momentum_12m,10,78,0.3406211355,0.2528624427,-0.6992191867,-0.6992207035,578.0000000000,935
tsmom_12m,10,78,0.3406211355,0.2528624427,-0.6992191867,-0.6992207035,578.0000000000,935
turtle_55_20,10,78,0.1761088054,0.1088977031,-0.4447376327,-0.4623167419,753.0000000000,1252
halloween,10,78,0.1220920470,0.0516235922,-0.6992160214,-0.6992202005,677.0000000000,833
turn_of_month,10,78,0.0395613673,-0.0015659103,-0.5417588736,-0.5417658966,2252.0000000000,2252
macd,10,78,0.1642920159,0.0859680457,-0.6206026678,-0.6206135234,714.0000000000,1685
rsi2,10,78,0.2950427381,0.0996084373,-0.4981583391,-0.4981626070,463.0000000000,865
