model,window_years,window_count,median_cagr,worst_cagr,median_mdd,worst_mdd,median_longest_tuw_days,worst_longest_tuw_days
jordan_public_proxy,5,139,0.0873535851,0.0043645406,-0.3104547801,-0.4776379162,711.0000000000,921
qqq_hold,5,139,0.1790075215,0.1196183813,-0.2854819880,-0.3511799765,239.0000000000,716
jordan_tqqq_full_exit,5,139,0.2166699453,0.0551236883,-0.6195972797,-0.6819142893,742.0000000000,898
jordan_tqqq_one_third,5,139,0.2608694475,0.0449301309,-0.5354166404,-0.7267491667,683.0000000000,929
jordan_tqqq_two_thirds,5,139,0.2875365492,0.0176500190,-0.4845988264,-0.7869671593,576.0000000000,959
tqqq_hold,5,139,0.3902790417,0.0820933652,-0.6992188713,-0.8165981895,432.0000000000,1111
vo,5,139,0.4037675862,0.1910585549,-0.3739223516,-0.4576933431,519.0000000000,560
three_percent,5,139,0.2641677130,0.0787358020,-0.5122144858,-0.6138149142,675.0000000000,756
jordan_public_proxy,10,79,0.0944186021,0.0584544794,-0.4775300735,-0.4777108889,855.0000000000,921
qqq_hold,10,79,0.1863279617,0.1536656962,-0.3511161273,-0.3511852711,490.0000000000,716
jordan_tqqq_full_exit,10,79,0.2378168574,0.1366748933,-0.6819064397,-0.6819218913,898.0000000000,898
jordan_tqqq_one_third,10,79,0.2709279102,0.1684444676,-0.7267483482,-0.7267597038,683.0000000000,929
jordan_tqqq_two_thirds,10,79,0.2911949318,0.1873349919,-0.7869693180,-0.7869756849,576.0000000000,959
tqqq_hold,10,79,0.3827643242,0.2917990754,-0.8165979651,-0.8165984940,528.0000000000,1111
vo,10,79,0.4016543726,0.3040366823,-0.4576931362,-0.4577018139,528.0000000000,560
three_percent,10,79,0.2737094286,0.2011108708,-0.6138198200,-0.6138344749,675.0000000000,756
