fee_rate,model,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
0.0010000000,jordan_public_proxy,2010-02-11,2026-07-31,100000.0000000000,684635.1053923550,5.8463510539,0.1239296827,55,3.3402623046,44592.8683715957,-0.4776958473,2021-12-27,2022-10-24,301,2024-07-05,620,921,921,2021-12-27
0.0010000000,qqq_hold,2010-02-11,2026-08-12,100000.0000000000,1933752.2177445367,18.3375221774,0.1966583387,1,0.0606111019,99.8743405320,-0.3511785887,2021-12-27,2022-11-03,311,2023-12-13,405,716,716,2021-12-27
0.0010000000,jordan_tqqq_full_exit,2010-02-11,2026-08-12,100000.0000000000,6840267.0238493392,67.4026702385,0.2918907835,55,3.3336106040,122328.2944669100,-0.6819223660,2021-11-19,2023-01-19,426,2024-02-07,384,810,898,2015-07-20
0.0010000000,jordan_tqqq_one_third,2010-02-11,2026-08-12,100000.0000000000,8736865.7880487889,86.3686578805,0.3111962726,59,3.5760550116,113007.8956825563,-0.7267604211,2021-11-19,2022-12-28,404,2024-06-05,525,929,929,2021-11-19
0.0010000000,jordan_tqqq_two_thirds,2010-02-11,2026-08-12,100000.0000000000,9839373.9119394571,97.3937391194,0.3206749916,59,3.5760550116,78295.2821649119,-0.7869766888,2021-11-19,2022-12-28,404,2024-07-05,555,959,959,2021-11-19
0.0010000000,tqqq_hold,2010-02-11,2026-08-12,100000.0000000000,38538583.0773022026,384.3858307730,0.4346104512,1,0.0606111019,99.9000343789,-0.8165985116,2021-11-19,2022-12-28,404,2024-12-04,707,1111,1111,2021-11-19
0.0010000000,vo,2010-02-11,2026-08-12,100000.0000000000,29714385.6587341987,296.1438565873,0.4121773450,98,5.9398879854,376771.2852633813,-0.4577021664,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
0.0010000000,three_percent,2010-02-11,2026-08-12,100000.0000000000,8563069.5960029792,84.6306959600,0.3096004087,413,25.0323850813,171031.2801937307,-0.6138385027,2021-11-19,2022-12-28,404,2023-12-15,352,756,756,2021-11-19
0.0020000000,jordan_public_proxy,2010-02-11,2026-07-31,100000.0000000000,613948.7410386814,5.1394874104,0.1165157982,55,3.3402623046,83537.4255751812,-0.4849444441,2021-12-27,2022-10-24,301,2025-10-02,1074,1375,1375,2021-12-27
0.0020000000,qqq_hold,2010-02-11,2026-08-12,100000.0000000000,1932279.8491349895,18.3227984913,0.1966030937,1,0.0606111019,199.5991685782,-0.3511869491,2021-12-27,2022-11-03,311,2023-12-13,405,716,716,2021-12-27
