scenario,start,end,start_equity,end_equity,total_return,cagr,trade_count,annual_trades,fees,mdd,mdd_peak,mdd_trough,drawdown_duration_days,recovery_date,recovery_period_days,mdd_time_underwater_days,longest_time_underwater_days,longest_underwater_start
VO cash,2020-06-01,2026-08-28,100000.0000000000,630367.3498002295,5.3036734980,0.3432176275,53,8.4940116279,7408.6000000000,-0.4576439272,2021-11-19,2022-09-30,315,2023-06-02,245,560,560,2021-11-19
VO SGOV,2020-06-01,2026-08-28,100000.0000000000,638374.5306592155,5.3837453066,0.3459376020,53,8.4940116279,14858.4300000000,-0.4569039921,2021-11-19,2022-09-30,315,2023-06-01,244,559,559,2021-11-19
